Coral_species Opecarcinus_hypostegus Troglocarcinus_corallicola Domecia_acanthophora Acanthemblemaria_spinosa Spirobranchus_polycerus Megabalanus
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites 3 NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites 2 NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites 2 NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites 1 NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
