Coral_species,Opecarcinus_hypostegus,Troglocarcinus_corallicola,Domecia_acanthophora,Acanthemblemaria_spinosa,Spirobranchus_polycerus,Megabalanus
Agaricia_agaricites,,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,3,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,2,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,2,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,2,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,2,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,2,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,2,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,2,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,2,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,3,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,3,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,2,,,,,
Agaricia_agaricites,1,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_agaricites,,,,,,
Agaricia_lamarcki,1,,,,,
Agaricia_lamarcki,,,,,,
Agaricia_lamarcki,,,,,,
Agaricia_lamarcki,,,,,,
Agaricia_lamarcki,,,,,,
Agaricia_lamarcki,,,,,,
Agaricia_lamarcki,,,,,,
Agaricia_lamarcki,,,,,,
Agaricia_lamarcki,2,,,,,
